coin,initial_buy_price,initial_buy_cost,rebought_at,rebuy_cost,gained,total_initial_buy_cost,total_rebuy_cost
BADGERUSDT,22.26,0.02226,22.25,0.02225,0.015419999999998879,22.28226,22.27225
FARMUSDT,206.6,0.2066,206.6,0.2066,0.18619999999998527,206.8066,206.8066
UMAUSDT,11.377,0.011377,11.341,0.011341,0.01420899999999925,11.388377,11.352341
UMAUSDT,11.377,0.011377,11.377,0.011377000000000002,0.029488999999999876,11.388377,11.388377
BTCSTUSDT,19.07,0.01907,19.05,0.01905,0.04177999999999926,19.08907,19.06905
SNXUSDT,12.557,0.012557,12.556,0.012556,0.01684399999999897,12.569557,12.568556
LINKUPUSDT,2.1536,0.0021536,2.1527,0.0021527,0.010278200000000126,2.1557536,2.1548526999999997
XTZUSDT,6.421,0.006421,6.421,0.0064210000000000005,0.012132999999999505,6.427421,6.427421
DOTUPUSDT,11.766,0.011766,11.762,0.011762,0.010434000000000054,11.777766,11.773762
SRMUSDT,10.443,0.010443,10.435,0.010435000000000002,0.010082999999999842,10.453443,10.445435
LINKUSDT,28.46,0.02846,28.46,0.028460000000000003,0.013010000000001298,28.48846,28.48846
QNTUSDT,359.0,0.359,358.7,0.3587,0.18109999999995807,359.359,359.0587
BTCSTUSDT,19.07,0.01907,18.95,0.018949999999999998,0.07360999999999862,19.08907,18.96895
NEARUSDT,8.96,0.00896,8.947,0.008947,0.015046999999999144,8.968960000000001,8.955946999999998
YFIIUSDT,4793.0,4.793,4791.0,4.791,0.4040000000004511,4797.793,4795.791
MLNUSDT,121.7,0.1217,121.7,0.1217,0.05629999999999313,121.8217,121.8217
QNTUSDT,359.0,0.359,358.4,0.3584,1.3618000000000166,359.359,358.7584
DCRUSDT,141.2,0.1412,141.2,0.1412,0.11719999999999686,141.3412,141.3412
FIROUSDT,7.609,0.007609,7.601,0.007601,0.01575099999999985,7.616609,7.608601
NEARUSDT,8.96,0.00896,8.956,0.008956,0.027122999999999564,8.968960000000001,8.964955999999999
ZENUSDT,94.79,0.09479,94.78,0.09478,0.010219999999989682,94.88479000000001,94.87478
XVSUSDT,31.9,0.0319,31.9,0.0319,0.056080000000005015,31.9319,31.9319
QNTUSDT,359.0,0.359,359.0,0.359,1.8438000000000443,359.359,359.359
MLNUSDT,121.7,0.1217,121.5,0.1215,0.21249999999999147,121.8217,121.6215
SNXUSDT,12.557,0.012557,12.555,0.012555,0.028694999999999027,12.569557,12.567555
LINKUSDT,28.46,0.02846,28.45,0.02845,0.026020000000002597,28.48846,28.47845
NEARUSDT,8.96,0.00896,8.957,0.008957000000000001,0.04117899999999963,8.968960000000001,8.965957000000001
BTCSTUSDT,19.07,0.01907,19.0,0.019,0.08566000000000074,19.08907,19.019
DCRUSDT,141.2,0.1412,141.2,0.1412,0.13450000000000273,141.3412,141.3412
BTCSTUSDT,19.07,0.01907,19.0,0.019,0.14756000000000213,19.08907,19.019
XTZDOWNUSDT,5.151,0.005151,5.149,0.005149,0.01067700000000027,5.1561509999999995,5.154149
ZENUSDT,94.79,0.09479,94.63,0.09462999999999999,0.030449999999987654,94.88479000000001,94.72462999999999
BTCSTUSDT,19.07,0.01907,19.07,0.01907,0.17949000000000126,19.08907,19.08907
QNTUSDT,359.0,0.359,358.2,0.3582,1.9250000000000682,359.359,358.5582
CTSIUSDT,0.673,0.000673,0.673,0.0006730000000000001,0.010342299999999915,0.6736730000000001,0.6736730000000001
WINGUSDT,20.74,0.0207399999999999,20.71,0.020710000000000003,0.01846000000000103,20.76074,20.730710000000002
FARMUSDT,206.6,0.2066,206.6,0.2066,0.5722000000000094,206.8066,206.8066
BADGERUSDT,22.26,0.02226,22.25,0.02225,0.030859999999997,22.28226,22.27225
FARMUSDT,206.6,0.2066,206.4,0.2064,0.7583999999999946,206.8066,206.6064
JUVUSDT,12.71,0.01271,12.7,0.0127,0.014539999999998443,12.722710000000001,12.7127
MTLUSDT,3.684,0.003684,3.683,0.003683,0.01361100000000004,3.687684,3.686683
FARMUSDT,206.6,0.2066,205.8,0.2058,1.1447999999999752,206.8066,206.00580000000002
ZENUSDT,94.79,0.09479,94.79,0.09479000000000001,0.09093999999998914,94.88479000000001,94.88479000000001
FARMUSDT,206.6,0.2066,206.3,0.2063,1.2326999999999657,206.8066,206.5063
LUNAUSDT,35.66,0.03566,35.66,0.03566,0.02857999999999805,35.69566,35.69566
LINKUSDT,28.46,0.02846,28.43,0.02843,0.03905000000000314,28.48846,28.45843
LINKUPUSDT,2.1536,0.0021536,2.1483,0.0021483,0.023755000000000415,2.1557536,2.1504483
BADGERUSDT,22.26,0.02226,22.26,0.022260000000000002,0.04629999999999512,22.28226,22.28226
XVSUSDT,31.9,0.0319,31.89,0.03189,0.07220000000000582,31.9319,31.92189
JUVUSDT,12.71,0.01271,12.7,0.0127,0.03908999999999985,12.722710000000001,12.7127
MASKUSDT,11.664,0.011664,11.637,0.011637000000000002,0.01763099999999973,11.675664,11.648637
ERNUSDT,13.809,0.013809,13.675,0.013675000000000001,0.01134300000000188,13.822809,13.688675
ERNUSDT,13.809,0.013809,13.729,0.013729,0.03793899999999972,13.822809,13.742728999999999
ERNUSDT,13.809,0.013809,13.776,0.013776,0.05743400000000065,13.822809,13.789776
MASKUSDT,11.664,0.011664,11.655,0.011655,0.033317999999999515,11.675664,11.666654999999999
LUNAUSDT,35.66,0.03566,35.65,0.03565,0.047170000000001266,35.69566,35.685649999999995
WAVESUSDT,28.89,0.02889,28.89,0.028890000000000002,0.022139999999996718,28.91889,28.91889
CFXUSDT,0.6181,0.0006181,0.6179,0.0006179,0.010452100000000075,0.6187180999999999,0.6185179
WINGUSDT,20.74,0.0207399999999999,20.71,0.020710000000000003,0.04697000000000173,20.76074,20.730710000000002
SNXUSDT,12.557,0.012557,12.557,0.012557,0.042545999999997974,12.569557,12.569557
QNTUSDT,359.0,0.359,358.5,0.3585,2.2076000000000704,359.359,358.8585
FTTUSDT,63.13,0.06313,63.12,0.06312,0.023589999999998668,63.193130000000004,63.183119999999995
XTZDOWNUSDT,5.151,0.005151,5.151,0.005151,0.029349999999999987,5.1561509999999995,5.1561509999999995
LUNAUSDT,35.66,0.03566,35.66,0.03566,0.0857600000000005,35.69566,35.69566
MASKUSDT,11.664,0.011664,11.662,0.011662,0.046971000000000984,11.675664,11.673662
BADGERUSDT,22.26,0.02226,22.26,0.022260000000000002,0.061719999999994,22.28226,22.28226
MASKUSDT,11.664,0.011664,11.648,0.011648,0.08058999999999905,11.675664,11.659647999999999
LUNAUSDT,35.66,0.03566,35.66,0.03566,0.10435000000000372,35.69566,35.69566
BTCSTUSDT,19.07,0.01907,19.07,0.01907,0.1913000000000018,19.08907,19.08907
SRMUSDT,10.443,0.010443,10.441,0.010441,0.02118100000000034,10.453443,10.451441
MASKUSDT,11.664,0.011664,11.664,0.011664,0.09325799999999873,11.675664,11.675664
SNXUSDT,12.557,0.012557,12.553,0.012553000000000002,0.06238699999999753,12.569557,12.565553000000001
BADGERUSDT,22.26,0.02226,22.25,0.02225,0.07713999999999288,22.28226,22.27225
ZENUSDT,94.79,0.09479,94.77,0.09477,0.2510099999999795,94.88479000000001,94.86477
DYDXUSDT,15.322,0.0153219999999999,15.321,0.015321,0.038287000000000404,15.337321999999999,15.336321
MASKUSDT,11.664,0.011664,11.647,0.011647000000000001,0.11388599999999904,11.675664,11.658647
MASKUSDT,11.664,0.011664,11.662,0.011662,0.1285539999999994,11.675664,11.673662
TRXDOWNUSDT,10.708,0.010708,10.708,0.010708,0.014547999999999561,10.718708,10.718708
LUNAUSDT,35.66,0.03566,35.65,0.03565,0.13293000000000177,35.69566,35.685649999999995
QNTUSDT,359.0,0.359,359.0,0.359,3.8882000000000403,359.359,359.359
MASKUSDT,11.664,0.011664,11.662,0.011662,0.1461889999999979,11.675664,11.673662
