coin,initial_buy_price,initial_buy_cost,out_price,estimated_cost,profit
AVAXUSDT,70.29,0.07029,70.59,70.43088,0.1591200000000014
UNIDOWNUSDT,3.939,0.003939,3.963,3.946902,0.0160979999999999
BADGERUSDT,22.26,0.02226,22.34,22.3046,0.0353999999999992
ATOMUSDT,39.52,0.03952,39.63,39.59915,0.0308500000000009
DOTUPUSDT,11.766,0.011766,11.819,11.789585,0.0294150000000001
FARMUSDT,206.6,0.2066,207.4,207.014,0.3860000000000241
AVAXUSDT,70.29,0.07029,70.56000000,70.43085,0.12914999999999566
UNIDOWNUSDT,3.939,0.003939,3.99100000,3.94693,0.044070000000000054
NEARUSDT,8.96,0.00896,8.99300000,8.977953000000001,0.015046999999999144
BTCSTUSDT,19.07,0.01907,19.15000000,19.10822,0.04177999999999926
BADGERUSDT,22.26,0.02226,22.32000000,22.30458,0.015419999999998879
FARMUSDT,206.6,0.2066,207.20000000,207.0138,0.18619999999998527
ETHDOWNUSDT,1.416,0.001416,1.42900000,1.418845,0.010155000000000136
TRXDOWNUSDT,10.708,0.010708,10.74400000,10.729452,0.014547999999999561
UMAUSDT,11.377,0.011377,11.41400000,11.399791,0.01420899999999925
DEXEUSDT,13.58,0.01358,13.65000000,13.60723,0.04277000000000086
XVSUSDT,31.9,0.0319,32.02000000,31.963919999999998,0.056080000000005015
UMAUSDT,11.377,0.011377,11.37900000,11.363719999999999,0.015280000000000626
SNXUSDT,12.557,0.012557,12.59900000,12.582156000000001,0.01684399999999897
QNTUSDT,359.0,0.359,359.90000000,359.7189,0.18109999999995807
MTLUSDT,3.684,0.003684,3.70500000,3.691389,0.01361100000000004
BTCSTUSDT,19.07,0.01907,19.12000000,19.08817,0.03182999999999936
ZENUSDT,94.79,0.09479,94.99000000,94.97978,0.010219999999989682
DCRUSDT,141.2,0.1412,141.60000000,141.4828,0.11719999999999686
LUNAUSDT,35.66,0.03566,35.76000000,35.73142,0.02857999999999805
SRMUSDT,10.443,0.010443,10.47400000,10.463917,0.010082999999999842
LINKUSDT,28.46,0.02846,28.53000000,28.51699,0.013010000000001298
FISUSDT,1.8878,0.0018878,1.90160000,1.8915894,0.01001059999999998
XTZUSDT,6.421,0.006421,6.44600000,6.433867,0.012132999999999505
QUICKUSDT,472.6,0.4726,473.60000000,473.5462,0.05380000000002383
LINKUPUSDT,2.1536,0.0021536,2.16820000,2.1579218,0.010278200000000126
DOTUPUSDT,11.766,0.011766,11.80000000,11.789566,0.010434000000000054
XLMDOWNUSDT,8.49,0.00849,8.54000000,8.50703,0.032969999999998834
YFIIUSDT,4793.0,4.793,4803.00000000,4802.596,0.4040000000004511
BARUSDT,18.12,0.01812,18.17000000,18.156290000000002,0.013709999999999667
SNXUSDT,12.557,0.012557,12.59300000,12.581149,0.011851000000000056
MLNUSDT,121.7,0.1217,122.00000000,121.9437,0.05629999999999313
ERNUSDT,13.809,0.013809,13.84800000,13.836656999999999,0.01134300000000188
QNTUSDT,359.0,0.359,360.60000000,359.41929999999996,1.1807000000000585
XTZDOWNUSDT,5.151,0.005151,5.17200000,5.161322999999999,0.01067700000000027
NEARUSDT,8.96,0.00896,8.97700000,8.964924,0.01207600000000042
YFIIUSDT,4793.0,4.793,4803.00000000,4800.594,2.405999999999949
QNTUSDT,359.0,0.359,359.60000000,359.118,0.48200000000002774
MLNUSDT,121.7,0.1217,122.10000000,121.9438,0.15619999999999834
FIROUSDT,7.609,0.007609,7.64000000,7.624249,0.01575099999999985
NEARUSDT,8.96,0.00896,8.98800000,8.973944,0.014056000000000068
SFPUSDT,1.1903,0.0011903,1.20310000,1.1926934,0.010406600000000044
OMGUSDT,9.061,0.009061,9.09200000,9.079153,0.012847000000000719
LINKUSDT,28.46,0.02846,28.53000000,28.51699,0.013010000000001298
YFIDOWNUSDT,1.0222,0.0010222,1.03610000,1.0242583,0.011841699999999955
BTCSTUSDT,19.07,0.01907,19.00000000,18.987949999999998,0.012050000000002115
CTSIUSDT,0.673,0.000673,0.68470000,0.6743577000000001,0.010342299999999915
DCRUSDT,141.2,0.1412,141.50000000,141.4827,0.017300000000005866
MLNUSDT,121.7,0.1217,123.10000000,121.7446,1.3553999999999888
XVSUSDT,31.9,0.0319,31.98000000,31.96388,0.0161200000000008
NEARUSDT,8.96,0.00896,8.98700000,8.974944,0.0120559999999994
BTCSTUSDT,19.07,0.01907,19.10000000,19.0381,0.0619000000000014
ZENUSDT,94.79,0.09479,94.99000000,94.96977,0.020229999999997972
DODOUSDT,1.51,0.00151,1.52600000,1.513036,0.012963999999999976
DEGOUSDT,8.78,0.00878,8.81000000,8.79759,0.01241000000000092
QNTUSDT,359.0,0.359,359.80000000,359.7188,0.08120000000002392
AUDIOUSDT,2.744,0.002744,2.76000000,2.7495040000000004,0.010495999999999395
XTZDOWNUSDT,5.151,0.005151,5.17800000,5.159327,0.018672999999999718
LINKUSDT,28.46,0.02846,28.52000000,28.50697,0.013030000000000541
FARMUSDT,206.6,0.2066,207.40000000,207.01399999999998,0.3860000000000241
BTCSTUSDT,19.07,0.01907,19.07000000,19.03807,0.031929999999999126
TORNUSDT,68.73,0.06873,68.89000000,68.86762,0.02237999999999829
LINKUPUSDT,2.1536,0.0021536,2.17050000,2.1570232,0.013476800000000289
WINGUSDT,20.74,0.0207399999999999,20.80000000,20.78154,0.01846000000000103
BADGERUSDT,22.26,0.02226,22.31000000,22.29456,0.015439999999998122
ACMUSDT,10.586,0.010586,10.62300000,10.607209000000001,0.015790999999998334
CFXUSDT,0.6181,0.0006181,0.62980000,0.6193479,0.010452100000000075
LSKUSDT,3.589,0.003589,3.60700000,3.596196,0.010804000000000258
