coin,trading,isLegalMoney,trade_fee,trade_symbol,profit,gained,times_it_sold,coin_status,initial_buy_price,initial_buy_cost,updated_price,out_price,estimated_cost,rebought_at,rebuy_cost
STPT,True,False,"[{'symbol': 'STPTUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",STPTUSDT,-0.012260670000000001,0.0,0,initialized,0.06141,6.141e-05,0.04926,4.926e-05,0.06152067,,
RAY,True,False,"[{'symbol': 'RAYUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",RAYUSDT,-2.8650759999999984,0.09728700000000146,7,rebought,12.963,0.0129629999999999,10.117,0.010117000000000001,12.982076,12.959,0.012959
NEAR,True,False,"[{'symbol': 'NEARUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",NEARUSDT,-1.2626679999999997,0.09540699999999624,7,rebought,8.96,0.00896,7.711,0.007711000000000001,8.973668,8.957,0.008957000000000001
AUDIO,True,False,"[{'symbol': 'AUDIOUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",AUDIOUSDT,-0.46300399999999975,0.010495999999999395,1,rebought,2.744,0.002744,2.273,0.0022730000000000003,2.736004,2.731,0.002731
HNT,True,False,"[{'symbol': 'HNTUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",HNTUSDT,-3.1472499999999997,0.0,0,initialized,20.18,0.02018,17.07,0.017070000000000002,20.21725,,
ADADOWN,True,False,"[{'symbol': 'ADADOWNUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",ADADOWNUSDT,0.0014552549999999995,0.0,0,initialized,0.003141,3.141e-06,0.004604,4.6039999999999995e-06,0.003148745,,
SUSD,True,False,"[{'symbol': 'SUSDUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",SUSDUSDT,-0.00299499999999997,0.0,0,initialized,0.998,0.000998,0.997,0.000997,0.999995,,
FARM,True,False,"[{'symbol': 'FARMUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",FARMUSDT,-37.774400000000014,1.519399999999962,6,rebought,206.6,0.2066,168.5,0.1685,206.2744,205.9,0.2059
AION,True,False,"[{'symbol': 'AIONUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",AIONUSDT,-0.04064549999999997,0.0,0,initialized,0.1929,0.0001929,0.1526,0.00015260000000000002,0.1932455,,
DGB,True,False,"[{'symbol': 'DGBUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",DGBUSDT,-0.010534050000000003,0.0,0,initialized,0.05724,5.724e-05,0.04681,4.681e-05,0.05734405,,
ZRX,True,False,"[{'symbol': 'ZRXUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",ZRXUSDT,-0.2190085999999999,0.0,0,initialized,1.1128,0.0011128,0.8958,0.0008958000000000001,1.1148086,,
WING,True,False,"[{'symbol': 'WINGUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",WINGUSDT,-3.617880000000003,0.240829999999999,6,rebought,20.74,0.0207399999999999,17.15,0.01715,20.76788,20.73,0.020730000000000002
WNXM,True,False,"[{'symbol': 'WNXMUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",WNXMUSDT,-9.236899999999999,0.8636599999999959,6,rebought,73.0,0.073,63.9,0.0639,73.1369,73.0,0.073
BCH,True,False,"[{'symbol': 'BCHUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",BCHUSDT,-100.17920000000004,0.0,0,initialized,639.1,0.6391,540.1,0.5401,640.2792000000001,,
JST,True,False,"[{'symbol': 'JSTUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",JSTUSDT,-0.016240740000000004,0.0,0,initialized,0.08841,8.841e-05,0.07233,7.233000000000001e-05,0.08857074000000001,,
ADAUP,True,False,"[{'symbol': 'ADAUPUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",ADAUPUSDT,-59.640632999999994,0.46465599999999085,2,rebought,166.624,0.166624,107.133,0.10713299999999999,166.773633,166.5,0.1665
HOT,True,False,"[{'symbol': 'HOTUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",HOTUSDT,-0.0017448050000000003,0.0,0,initialized,0.009766,9.766e-06,0.008039,8.038999999999999e-06,0.009783805,,
AR,True,False,"[{'symbol': 'ARUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",ARUSDT,-9.960049999999995,0.30959000000000003,7,rebought,49.99,0.04999,40.09,0.04009000000000001,50.05005,49.96,0.049960000000000004
IRIS,True,False,"[{'symbol': 'IRISUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",IRISUSDT,-0.022195840000000022,0.0,0,initialized,0.14888,0.00014888,0.12696,0.00012696,0.14915584,,
RAMP,True,False,"[{'symbol': 'RAMPUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",RAMPUSDT,-0.08388400000000001,0.0,0,initialized,0.3836,0.0003836,0.3004,0.0003004,0.384284,,
FLM,True,False,"[{'symbol': 'FLMUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",FLMUSDT,-0.1280462,0.0,0,initialized,0.5866,0.0005866,0.4596,0.0004596,0.5876462,,
GNO,True,False,"[{'symbol': 'GNOUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",GNOUSDT,-38.71719999999999,0.04400000000003956,1,rebought,277.7,0.2777,239.5,0.23950000000000002,278.2172,277.7,0.2777
VITE,True,False,"[{'symbol': 'VITEUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",VITEUSDT,-0.015610559999999996,0.0,0,initialized,0.093,9.3e-05,0.07756,7.756000000000001e-05,0.09317056,,
CFX,True,False,"[{'symbol': 'CFXUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",CFXUSDT,-0.17755549999999998,0.04420700000000022,4,rebought,0.6181,0.0006181,0.4395,0.0004395,0.6170555,0.616,0.000616
SFP,True,False,"[{'symbol': 'SFPUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",SFPUSDT,-0.2284542999999999,0.010406600000000044,1,rebought,1.1903,0.0011903,0.964,0.000964,1.1924542999999999,1.1903,0.0011903
DIA,True,False,"[{'symbol': 'DIAUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",DIAUSDT,-0.3954620000000002,0.0,0,initialized,1.927,0.001927,1.535,0.001535,1.9304620000000001,,
ARDR,True,False,"[{'symbol': 'ARDRUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",ARDRUSDT,-0.07998750000000004,0.0,0,initialized,0.3834,0.0003834,0.3041,0.00030409999999999996,0.3840875,,
BEL,True,False,"[{'symbol': 'BELUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",BELUSDT,-0.38156599999999985,0.01503499999999991,1,rebought,1.973,0.001973,1.594,0.0015940000000000001,1.975566,1.972,0.0019720000000000002
JUV,True,False,"[{'symbol': 'JUVUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",JUVUSDT,-2.15329,0.14636999999999922,8,rebought,12.71,0.01271,10.58,0.01058,12.73329,12.71,0.01271
ACM,True,False,"[{'symbol': 'ACMUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",ACMUSDT,-1.885306,0.04359999999999786,2,rebought,10.586,0.010586,8.72,0.00872,10.605306,10.586,0.010586
MINA,True,False,"[{'symbol': 'MINAUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",MINAUSDT,-0.5845010000000004,0.02366299999999999,2,rebought,5.323,0.005323,4.463,0.004463,5.0475010000000005,5.038,0.005038
VTHO,True,False,"[{'symbol': 'VTHOUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",VTHOUSDT,-0.0017845200000000004,0.0,0,initialized,0.009144,9.144e-06,0.007376,7.376e-06,0.00916052,,
REN,True,False,"[{'symbol': 'RENUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",RENUSDT,-0.23239349999999992,0.0,0,initialized,0.9621,0.0009621,0.7314,0.0007314000000000001,0.9637935,,
REP,True,False,"[{'symbol': 'REPUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",REPUSDT,-5.187139999999999,0.0,0,initialized,26.14,0.02614,21.0,0.021,26.18714,,
ADA,True,False,"[{'symbol': 'ADAUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",ADAUSDT,-0.3753989999999998,0.0,0,initialized,2.385,0.002385,2.014,0.0020139999999999997,2.3893989999999996,,
ELF,True,False,"[{'symbol': 'ELFUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",ELFUSDT,-0.12159989999999998,0.0,0,initialized,0.9099,0.0009099,0.79,0.00079,0.9115999,,
REQ,True,False,"[{'symbol': 'REQUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",REQUSDT,-0.02729910000000002,0.0,0,initialized,0.213,0.000213,0.1861,0.0001861,0.2133991,,
STORJ,True,False,"[{'symbol': 'STORJUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",STORJUSDT,-0.28169679999999997,0.0,0,initialized,1.388,0.001388,1.1088,0.0011088,1.3904968,,
BZRX,True,False,"[{'symbol': 'BZRXUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",BZRXUSDT,-0.07478859999999998,0.0,0,initialized,0.3314,0.0003314,0.2572,0.00025719999999999996,0.33198859999999997,,
EOSDOWN,True,False,"[{'symbol': 'EOSDOWNUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",EOSDOWNUSDT,0.0002098962,0.0,0,initialized,0.0003465,3.465000000000001e-07,0.0005573,5.573e-07,0.00034740380000000004,,
PAXG,True,False,"[{'symbol': 'PAXGUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",PAXGUSDT,-6.537000000000035,0.0,0,initialized,1770.0,1.77,1767.0,1.7670000000000001,1773.537,,
CHR,True,False,"[{'symbol': 'CHRUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",CHRUSDT,-0.06140960000000001,0.0,0,initialized,0.3352,0.0003352,0.2744,0.0002744,0.3358096,,
BCHDOWN,True,False,"[{'symbol': 'BCHDOWNUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",BCHDOWNUSDT,0.011083200000000015,0.0,1,sold,0.2526,0.0002526,0.3615,0.0003615,0.2531168,,
WAVES,True,False,"[{'symbol': 'WAVESUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",WAVESUSDT,-5.931899999999999,0.022139999999996718,1,rebought,28.89,0.02889,23.01,0.023010000000000003,28.9419,28.89,0.028890000000000002
CHZ,True,False,"[{'symbol': 'CHZUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",CHZUSDT,-0.05479900000000004,0.0,0,initialized,0.3266,0.0003266,0.2724,0.0002724,0.327199,,
XRP,True,False,"[{'symbol': 'XRPUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",XRPUSDT,-0.18148129999999996,0.0,0,initialized,1.0804,0.0010804,0.9009,0.0009009,1.0823813,,
SAND,True,False,"[{'symbol': 'SANDUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",SANDUSDT,-0.14269949999999998,0.0,0,initialized,0.7704,0.0007704,0.6291,0.0006291000000000001,0.7717995,,
OCEAN,True,False,"[{'symbol': 'OCEANUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",OCEANUSDT,-0.16324359999999982,0.0,0,initialized,0.8027,0.0008026999999999,0.6409,0.0006409,0.8041435999999998,,
FOR,True,False,"[{'symbol': 'FORUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",FORUSDT,-0.02306744999999999,0.0,0,initialized,0.10017,0.00010017,0.07728,7.728e-05,0.10034744999999999,,
UMA,True,False,"[{'symbol': 'UMAUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",UMAUSDT,-1.5781210000000012,0.1594719999999974,6,rebought,11.377,0.011377,9.782,0.009782,11.360121000000001,11.339,0.011339
TUSD,True,False,"[{'symbol': 'TUSDUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",TUSDUSDT,-0.0018000000000000238,0.0,0,initialized,0.9999,0.0009999,1.0001,0.0010001,1.0019,,
TKO,True,False,"[{'symbol': 'TKOUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",TKOUSDT,-0.529231,0.01622099999999982,1,rebought,2.379,0.002379,1.853,0.001853,2.382231,2.378,0.0023780000000000003
ENJ,True,False,"[{'symbol': 'ENJUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",ENJUSDT,-0.3029820000000001,0.0,0,initialized,1.641,0.001641,1.341,0.001341,1.643982,,
UNIDOWN,True,False,"[{'symbol': 'UNIDOWNUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",UNIDOWNUSDT,0.044070000000000054,0.0,1,sold,3.939,0.003939,5.729,0.005729000000000001,3.94693,,
YFII,True,False,"[{'symbol': 'YFIIUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",YFIIUSDT,-704.8860000000004,15.606000000000677,4,rebought,4793.0,4.793,4095.0,4.095,4799.886,4791.0,4.791
GRT,True,False,"[{'symbol': 'GRTUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",GRTUSDT,-0.1651104,0.0,0,initialized,0.837,0.000837,0.6734,0.0006734,0.8385104,,
HARD,True,False,"[{'symbol': 'HARDUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",HARDUSDT,-0.16699949999999997,0.036057700000000414,3,rebought,1.0347,0.0010347,0.8672,0.0008671999999999999,1.0341995,1.0323,0.0010323
TFUEL,True,False,"[{'symbol': 'TFUELUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",TFUELUSDT,-0.053859500000000005,0.0,0,initialized,0.3064,0.0003064,0.2531,0.00025309999999999997,0.3069595,,
TROY,True,False,"[{'symbol': 'TROYUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",TROYUSDT,0.010024231,0.0,1,sold,0.008359,8.359e-06,0.016869,1.6869e-05,0.008385769,,
XLMUP,True,False,"[{'symbol': 'XLMUPUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",XLMUPUSDT,-0.029078239999999998,0.0,0,initialized,0.08359,8.359e-05,0.05465,5.465e-05,0.08372824,,
UNI,True,False,"[{'symbol': 'UNIUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",UNIUSDT,-3.775470000000002,0.0,0,initialized,24.6,0.0246,20.87,0.020870000000000003,24.645470000000003,,
BTCDOWN,True,False,"[{'symbol': 'BTCDOWNUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",BTCDOWNUSDT,0.006258759999999999,0.0,0,initialized,0.01747,1.747e-05,0.02377,2.377e-05,0.01751124,,
TLM,True,False,"[{'symbol': 'TLMUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",TLMUSDT,-0.05449609999999999,0.0,0,initialized,0.2251,0.0002251,0.171,0.000171,0.2254961,,
CKB,True,False,"[{'symbol': 'CKBUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",CKBUSDT,-0.0025908600000000004,0.0,0,initialized,0.01671,1.671e-05,0.01415,1.415e-05,0.01674086,,
WRX,True,False,"[{'symbol': 'WRXUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",WRXUSDT,-0.17934700000000015,0.05236799999999975,3,rebought,1.262,0.001262,1.085,0.001085,1.264347,1.262,0.001262
XTZ,True,False,"[{'symbol': 'XTZUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",XTZUSDT,-0.7131020000000001,0.09494299999999978,7,rebought,6.421,0.006421,5.2,0.005200000000000001,5.913102,5.902,0.005902
LUNA,True,False,"[{'symbol': 'LUNAUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",LUNAUSDT,-8.702620000000007,0.2559100000000143,10,rebought,35.66,0.03566,26.99,0.02699,35.692620000000005,35.63,0.03563
ETHDOWN,True,False,"[{'symbol': 'ETHDOWNUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",ETHDOWNUSDT,0.010155000000000136,0.0,1,sold,1.416,0.001416,1.973,0.001973,1.418845,,
EOS,True,False,"[{'symbol': 'EOSUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",EOSUSDT,-1.050491,0.0,0,initialized,5.266,0.005266,4.225,0.004225,5.275491,,
RIF,True,False,"[{'symbol': 'RIFUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",RIFUSDT,-0.030265399999999998,0.0,0,initialized,0.2476,0.0002476,0.2178,0.0002178,0.2480654,,
SKL,True,False,"[{'symbol': 'SKLUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",SKLUSDT,-0.08411660000000004,0.0,0,initialized,0.4,0.0004,0.3166,0.0003166,0.40071660000000003,,
