coin,initial_buy_price,initial_buy_cost
STPT,0.06141,6.141e-05
RAY,12.963,0.012962999999999999
NEAR,8.96,0.008960000000000001
AUDIO,2.744,0.0027440000000000003
HNT,20.18,0.02018
ADADOWN,0.003141,3.141e-06
SUSD,0.998,0.000998
FARM,206.6,0.2066
AION,0.1929,0.0001929
DGB,0.05724,5.724e-05
ZRX,1.1128,0.0011128
WING,20.74,0.020739999999999998
WNXM,73.0,0.073
BCH,639.1,0.6391
JST,0.08841,8.841e-05
ADAUP,166.624,0.166624
HOT,0.009766,9.766000000000001e-06
AR,49.99,0.04999
IRIS,0.14888,0.00014888000000000002
RAMP,0.3836,0.0003836
FLM,0.5866,0.0005866000000000001
GNO,277.7,0.2777
VITE,0.093,9.3e-05
CFX,0.6181,0.0006181
SFP,1.1903,0.0011903
DIA,1.927,0.0019270000000000001
ARDR,0.3834,0.00038340000000000005
BEL,1.973,0.001973
JUV,12.71,0.01271
ACM,10.586,0.010586
MINA,5.323,0.0053230000000000005
VTHO,0.009144,9.144e-06
REN,0.9621,0.0009621
REP,26.14,0.02614
ADA,2.385,0.002385
ELF,0.9099,0.0009099
REQ,0.213,0.000213
STORJ,1.388,0.001388
BZRX,0.3314,0.0003314
EOSDOWN,0.0003465,3.4650000000000004e-07
PAXG,1770.0,1.77
CHR,0.3352,0.0003352
BCHDOWN,0.2526,0.0002526
WAVES,28.89,0.028890000000000002
CHZ,0.3266,0.0003266
XRP,1.0804,0.0010804
SAND,0.7704,0.0007704
OCEAN,0.8027,0.0008026999999999999
FOR,0.10017,0.00010017
UMA,11.377,0.011377000000000002
TUSD,0.9999,0.0009999
TKO,2.379,0.002379
ENJ,1.641,0.001641
UNIDOWN,3.939,0.003939
YFII,4793.0,4.793
GRT,0.837,0.000837
HARD,1.0347,0.0010347
TFUEL,0.3064,0.0003064
TROY,0.008359,8.359e-06
XLMUP,0.08359,8.359e-05
UNI,24.6,0.0246
BTCDOWN,0.01747,1.747e-05
TLM,0.2251,0.0002251
CKB,0.01671,1.671e-05
WRX,1.262,0.001262
XTZ,6.421,0.0064210000000000005
LUNA,35.66,0.03566
ETHDOWN,1.416,0.001416
EOS,5.266,0.005266
RIF,0.2476,0.0002476
SKL,0.4,0.0004
GTC,8.945,0.008945
SXPDOWN,0.156,0.000156
BURGER,4.097,0.004097000000000001
GTO,0.04523,4.523e-05
WTC,1.1967,0.0011967000000000002
XVG,0.02728,2.728e-05
EPS,0.6682,0.0006682
DNT,0.1775,0.0001775
CLV,1.342,0.001342
FLOW,20.57,0.02057
XTZDOWN,5.151,0.005151
XVS,31.9,0.0319
SLP,0.0805,8.05e-05
NBS,0.0142,1.4200000000000001e-05
DOT,34.24,0.03424
1INCH,3.124,0.003124
MITH,0.05295,5.295e-05
DEGO,8.78,0.00878
UNFI,10.955,0.010955
FTM,1.3272,0.0013272
ERN,13.809,0.013809
FTT,63.13,0.06313
PHA,0.9354,0.0009354000000000001
RLC,3.915,0.003915
TRXDOWN,10.708,0.010708
ATOM,39.52,0.039520000000000007
XRPUP,5.6109,0.0056109
QUICK,472.6,0.4726
BLZ,0.2555,0.00025550000000000003
MBL,0.009886,9.886000000000002e-06
BNBUP,361.13,0.36113
SNX,12.557,0.012557
LTCDOWN,2.725,0.002725
FUN,0.02034,2.0340000000000002e-05
COS,0.02397,2.3970000000000003e-05
SUSHIUP,0.0915,9.15e-05
ROSE,0.23806,0.00023806
SOL,161.66,0.16166
TRXUP,0.45275,0.00045275
ETC,57.03,0.057030000000000004
BNB,411.3,0.4113
CELR,0.11279,0.00011279000000000001
OGN,1.0604,0.0010604
ETH,3451.32,3.4513200000000004
NEO,49.62,0.04962
TOMO,2.328,0.0023279999999999998
CELO,5.265,0.005265
KLAY,1.262,0.001262
BADGER,22.26,0.022260000000000002
GXS,0.7486,0.0007486000000000001
TRB,59.35,0.05935
BNT,4.086,0.004086
UTK,0.4143,0.0004143
TRU,0.5608,0.0005608
DREP,0.7342,0.0007342
TRX,0.10567,0.00010567
